category,total_occurrences,mean_final_score,min_final_score,max_final_score,std_final_score,rank
jungle bites,78,1.9743589743589745,1.5,2.0,0.11100005550004169,1
planet yen,287,1.82404181184669,0.0,2.0,0.4258439235174137,2
discovery food court,103,1.7912621359223302,0.0,2.0,0.4927129371695219,3
friar s good food,92,1.6358695652173914,0.5,2.0,0.3405172283450705,4
super hungry food stand,67,1.5820895522388059,0.5,2.0,0.3325408943338276,5
kt s grill,84,1.5773809523809523,0.0,2.0,0.5729549679472785,6
mel s drive in,33,1.5,0.0,2.0,0.7603453162872774,7
me want cookie,84,1.4642857142857142,0.0,2.0,0.25490033825803765,8
