category,total_occurrences,mean_final_score,min_final_score,max_final_score,std_final_score,rank
lights camera action,99,1.7272727272727273,0.0,2.0,0.5545393716020274,1
transformers voices of cybertron,2179,1.7094997705369435,0.0,2.0,0.5310009929580616,2
shrek 4 d adventure,424,1.7063679245283019,0.0,2.0,0.517296131320708,3
waterworld,928,1.6551724137931034,0.0,2.0,0.5945229814056088,4
lake hollywood spectacular,63,1.5396825396825398,0.5,2.0,0.2738846487469723,5
pantages hollywood theater trolls hug time jubilee,52,1.4903846153846154,0.5,2.0,0.2709891940430179,6
minute of minion mayhem,464,1.4795258620689655,0.0,2.0,0.6767593593229585,7
minion dance party,450,1.4744444444444444,0.0,2.0,0.6756274179012021,8
sesame street,47,1.4680851063829787,0.0,2.0,0.6789078130986574,9
